mean_fit_time,[1.18607502 1.7115716  2.35020571 1.17339463 1.57376056 1.92669315]
std_fit_time,[0.01948632 0.17652789 0.22194912 0.00958312 0.01503734 0.10968731]
mean_score_time,[0.04062314 0.06815071 0.08723302 0.04087801 0.05178614 0.06033664]
std_score_time,[0.00117977 0.01655884 0.01904961 0.00298357 0.00043204 0.00175464]
param_max_features,['sqrt' 'sqrt' 'sqrt' 'log2' 'log2' 'log2']
param_n_estimators,[120 160 190 120 160 190]
params,[{'max_features': 'sqrt', 'n_estimators': 120}, {'max_features': 'sqrt', 'n_estimators': 160}, {'max_features': 'sqrt', 'n_estimators': 190}, {'max_features': 'log2', 'n_estimators': 120}, {'max_features': 'log2', 'n_estimators': 160}, {'max_features': 'log2', 'n_estimators': 190}]
split0_test_score,[0.81  0.811 0.809 0.81  0.811 0.809]
split1_test_score,[0.795 0.798 0.793 0.795 0.798 0.793]
split2_test_score,[0.798 0.803 0.806 0.798 0.803 0.806]
split3_test_score,[0.814 0.81  0.805 0.814 0.81  0.805]
split4_test_score,[0.782 0.788 0.79  0.782 0.788 0.79 ]
mean_test_score,[0.7998 0.802  0.8006 0.7998 0.802  0.8006]
std_test_score,[0.01139122 0.00846168 0.00760526 0.01139122 0.00846168 0.00760526]
rank_test_score,[5 1 3 5 1 3]
